New Sentence, Luganda - Translation,Swahili - Translation,Sentiment code
It is good to know your health status now.,Kirungi okumanya obulamu bwo bwe buyimiridde kaakano.,Ni vizuri kufahamu hali yako ya kiafya hivi sasa.,Pos
The white dress looks beautiful on you.,Ekiteeteeyi ekyeru kikufaananira bulungi.,Nguo ile nyeupe inakupendeza sana.,Pos
That young girl is very smart.,Akawala kayonjo nnyo.,Binti yule ni mtanashati sana.,Pos
He felt shame when he moved into town with torn trousers.,Yawulira ekiswalo bwe yagenda mu kibuga mu mpale enjulifu.,Alijihisi aibu alipotembea mjini akiwa na suruali iliyotoboka.,Neg
She refused to tell us her real name.,Yagaana okutubuulira amannya ge amatuufu.,Alikataa kutuambia jina lake halisi.,Neg
You two look great together.,Mmwe ababiri mulabika bulungi nga muli wamu.,Manonekana mpo vizui kwa pamoja.,Pos
The young boy refused to go to school.,Akalenzi kaagaanye okugenda ku ssomero.,Watoto waligoma kwenda shule.,Neg
I was happy when the cat killed all the rats in the house.,Nasanyuse nga kkapa esse emmese zonna eziri mu nnyumba.,Nilifurahi pale paka yule alivyowaua panya wote nyumbani.,Pos
I hate eating strawberry cakes.,Saagala kkeeci za strawberry.,Sipendi kula keki za stroberi.,Neg
We dislike watching movies with our mother at night.,Tetwagala kulaba ffirimu ne nnyaffe ekiro.,Hatupendi kutazama filamu tukiwa pamoja na mama usiku.,Neg
I got angry when my neighbor used up my hair shampoo.,Nanyiize nga muliraanwa wange amazeewo shampo wange ow'enviiri.,Nilikasirika rafiki yangu alipoitumia shampoo yangu.,Neg
Thank you for updating me about the latest job applications.,Weebale kumpa bubaka obukyasembyeyo obukwata ku kusaba emirimu okusembyeyo.,Nashkuru kwa kunihabarisha kuhusu maombi mapya ya kazi.,Pos
She failed to fulfill the promise that she made.,Yalemererwa okutuukiriza ekisuubizo kye yakola.,Alishindwa kutimiza ahadi aliyoiahidi.,Neg
"Sadly, my father is surrounded by evil people at his workplace.","Eky'ennaku, kitange yeetooloddwa abantu ababi gy'akolera.","Huzuni, baba yangu amezungukwa na watu waovu kazini kwake.",Neg
I was very happy when I met your mother again.,Nali musanyufu nnyo nga nzizeemu okusisinkana nnyoko.,Nilifurahi sana nilivyokutana tena na mama yako.,Pos
She felt miserable because her baby cries a lot.,Yawulira bubi kubanga omwana we akaaba nnyo.,Alihuzunika kwsababu mtoto wake analia sana.,Neg
That is a very sad song.,Olwo oluyimba lulimu ennaku nnyingi.,Ule ni wimbo wa kuhuzunisha sana.,Neg
We truly believe this is the best school for you.,Tukkiriza ddala nti lino ly'essomero erisinga obulungi gy'oli.,Kiukweli tunaamini hii ni shule bora kwako.,Pos
I am glad those people know each other.,Ndi musanyufu nti abantu abo beemanyi.,Nina furaha kwasabau jamaa wale wanafahamiana.,Pos
The employees were suspended without pay for their conduct.,Abakozi baayimirizibwa nga tebasasuddwa olw'enneeyisa yaabwe.,Wafanyakazi walisimamishwa kazi pasipo na kulipwa chochote kwa walichofanya.,Neg
My favorite color is red.,Langi ensingira y'emmyufu.,Rangi yangu pendwa ni nyekundu.,Pos
Her mother got angry when she wasted a lot of time looking for her.,Nnyina yasunguwala bwe yayonoona obudde bungi ng'amunoonya.,Mama yake alikasirika alipopoteza muda mwingi akimtafuta.,Neg
I was happy when I found him awake by the time I came back.,Nali musanyufu bwe namusanga ng'atunula mu kaseera we naddira.,Nilifurahi nilipomkuta ameamka wakati nimerudi.,Pos
The visitors felt comfortable at my home.,Abagenyi baawulidde emirembe mu maka gange.,Wageni wale walijisikia amani nyumbani kwangu.,Pos
She has a beautiful smile.,Alina akamwenyu akalungi.,Ana tabasamu zuri.,Pos
Your fingers are very dirty.,Engalo zo ncaafu nnyo.,Vidole vyako vichafu sana.,Neg
I felt unhappy when I took a long time without seeing my father.,Nawulira nga siri musanyufu bwe namala ebbanga ggwanvu nga sirabye ku kitange.,Sikuwa na furaha nilipochukuwa muda mrefu bilia ya kumuona baba yangu.,Neg
The baby cried because she was very hungry.,Omwana yakaabye kubanga yabadde muyala nnyo.,Mtoto huyu alilia kwasbabu alikuwa na njaa.,Neg
I dislike your phone ring tone.,Saagala luyimba oluyimba ng'essimu yo evuga.,Siupendi muito wa simu yako.,Neg
We love watching that midnight show.,Twagala okulaba olulaga olw'ekiro mu ttumbi.,Tunapenda kutazama tamasha lile la usiku wa manane.,Pos
Everyone was happy when she accepted to work on the upcoming business deal.,Buli omu yasanyuka bwe yakkiriza okukola ku mulimu oguddako.,Kila mmoja alifurahia alipokubali kufanyia kazi dili lijalo la kibiashara.,Pos
His parents were angry when they found out that he was caught stealing.,Bazadde be baali banyiivu bwe baazuula nti yakwatibwa ng'abba.,Wazazi wake walikasirika walipokuta kuwa alikamatwa kwa wizi.,Neg
The patient failed to take plenty of water as the doctor advised.,Omulwadde yalemererwa okunywa amazzi amangi ng'omusawo bwe yamugamba.,Mgonjwa yule alishindwa kunywa maji ya kutosha kama alivoshauri daktari. ,Neg
He was unhappy when the police refused to release him on bail.,Teyali musanyufu nga poliisi egaanye okumuta ku kweyimirirwa.,Hakufurahia wakati polisi walipokataa kumuachia kwa dhamana.,Neg
I was surprised and happy to meet the minister for the first time.,Neewuunya era nali musanyufu okusisinkana minisita omulundi ogusooka.,Nilishangaa na kufurahi kukutana na waziri kwa mara ya kwanza.,Pos
I hate digging at my brother's farm.,Saagala kulima ku ffaamu ya muganda wange/mwannyinaze.,Ninachukia kuchimba katika shamba la kaka yangu.,Neg
We felt angry when she ignored him.,Twawulira obusungu ng'amwebalamye.,Tulikasirika alipomdharau.,Neg
It was nice to meet you today.,Kyabadde kirungi okukusisinkana olwaleero.,Ilikuwa poa kukutana na wewe leo.,Pos
I am happy because you hung my photo on the wall.,Ndi musanyufu kubang watimba kifaananyi kyange ku kisenge.,Nimefurahi kwasababu umeitundika picha ynagu ukutani.,Pos
The young girl got scared when two men followed her on her way to school.,Akawala kaatya abasajja babiri bwe baakagoberera nga kagenda ku ssomero.,Msichana mdogo alishikwa na hofu wakati wanaume wawili walipokuwa wakimfuata njiani akienda shuleni.,Neg
He is a hard-working man.,Musajja mukozi nnyo.,Ni mfanya kazi hodari.,Pos
My children were excited when we bought a new house.,Abaana bange baasanyuka nga tuguze ennyumba empya.,Watoto wangu walisisimka tuliponunua nyumbva mpya.,Pos
I was happy when the housemaid cleaned my house.,Nabadde musanyufu ng'omukozi w'ewaka alongoosezza ennyumba yange.,Nilifurahi mfanyakazi wetu wa nyumbani aliposafisha nyumba yangu.,Pos
We are happy because peace was restored in our home.,Tuli basanyufu kubanga emirembe gyakomawo mu maka gaffe.,Tuna furaha kwasababu amani ilitunzwa nyumbani kwetu.,Pos
I was overjoyed when the leader sent me a present on my birthday.,Najjula essanyu ng'omukulembeze ampeerezza ekirabo ku mazaalibwa gange.,Nilifurahi sana kiongozi yule aliponipa zawadi katika siku ya kumbukizi ya mazazi yangu.,Pos
Thank you for responding to my messages.,Weebale kuddamu bubaka bwange.,Nashkuru kwa kujibu ujumbe wangu.,Pos
The bad situation has not changed at all.,Embeera embi tennakyukamu n'akatono.,Hali mbaya haijabadilika kabisa.,Neg
She appreciates everything you have done for her.,Asiima buli kintu ky'omukoledde.,Anathamini kila kitu ambacho umemfanyia.,Pos
I feel uncomfortable when you are with me.,Siwulira mirembe ng'oli nange.,Ninahisi kutojiamini unapokuwa nami.,Neg
We are happy because the meeting was rescheduled for tomorrow morning.,Tuli basanyufu kubanga olukiiko lwazziddwa ku lunaku lw'enkya ku makya.,Tunaf furaha kwasbabu mkutano ule umepangwa upya kwa kesho asubuhi.,Pos
"Sadly, I miss my high school friends.","Eky'ennaku, nsubwa mikwano gyange egya sekendule.","Huzuni, nawakumbuka marafiki zangu wa shule ya juu.",Neg
This is an awesome idea.,Kino kirowoozo kisuffu.,Hili ni wazo la ajabu.,Pos
I got excited when you fixed some time for me.,Nasanyuka ng'ofissizzaawo ku kadde akange.,Nilisisimkwa ulipotoa muda wako kwangu.,Pos
People were overjoyed when the police stopped the thieves from stealing their goods.,Abantu bajjula essanyu poliisi ng'eyimirizza ababbi okubba ebintu byabwe.,Watu wakifurahi sana wakati polisi walipowazuia wezi wale kuiba bidhaa zao.,Pos
He said weird things that annoyed me.,Yayogera ebintu ebibi eyannyiiza.,Alizungumza mambo ya hovyo ambayo yaliniudhi. ,Neg
My grandchildren always make me happy.,Bazzukulu bange bansanyusa buli kaseera.,Wajuu wangu hunifurahisha siku zote.,Pos
You look smart in your new trousers.,Olabika bulungi mu mpale zo empya.,Umependeza na suruali yako mpya.,Pos
The villagers were happy when their leader gave them bags of sugar,Bannakyalo baabadde basanyufu ng'omukulembeze waabwe abawadde ensawo za sukaali.,Wanakijiji walifurahi pale kiongozi wao alipowapa viroba vya sukari. ,Pos
He is the fastest runner in our country.,Ye muddusi asinga emisinde mu ggwanga lyaffe.,Ni mkimbiaji mwenye kasi zaidi nchini mwetu.,Pos
Everyone disliked the way the chairperson handled the situation.,Buli omu teyayagala ngeri ssentebe gye yakwatamu embeera.,Kila mmoja hakupenda namna mwenyekiti alivyoikabili hali ile.,Neg
I love your new hairstyle.,Njagala omusono gwo ogw'enviiri omupya.,Ninaupenda mtindo mpya wa nywele zako.,Pos
We enjoy Friday mornings at work.,Tunyumirwa amakya g'Olwokutaano ku mulimu.,Tunafurahia asubuhi za Ijumaa kazini.,Pos
I am tired of my housemaid.,Nkooye omukozi wange ow'ewaka.,Nimechoshwa na mfanyakazi wangu wangu wa ndani.,Neg
Yesterday our teacher failed to teach us because he was drunk.,Eggulo omusomesa waffe yalemereddwa okutusomesa kubanga yabadde atamidde.,Jana mwalimu wetu alishindwa kutufundisha kwasababu alikuwa amelewa.,Neg
The old woman felt sad when her pig was stolen last night.,Omukyala omukadde yawulidde ennaku ng'embizzi ye ebbiddwa ekiro ekyayise.,Mama mtu mzima alihuzunika wakati alipoibiwa nguruwe wake jana usiku.,Neg
He felt a lot of pain when he slid on the slippery floor and broke his arm.,Yawulidde obulumi bungi ng'aseeredde wansi ewaabadde waseerera n'amenyeka omukono.,Alihisi maumivu makali alipoteleza katika sakafu ma kuvunjika mkonp wake.,Neg
She failed to stay awake through the night.,Yalemereddwa okusigala ng'atunula okuyita mu kiro.,Alishindwa kuwa macho usiku mzima.,Neg
I enjoy eating bread spread with jam.,Njagala okulya omugaati ogusiigiddwako jaamu.,Ninafurahia kula mkate uliopakazwa jam.,Pos
This woman got ashamed when the villagers got to know her personal information.,Omukyala ono yaswadde ng'abantu b'oku kyalo bategedde ebimukwatako.,Mwanamke huyu alipatwa na aibu wakati wanakijiji walipofahamu taarifa zake binafsi.,Pos
I was unhappy when my baby broke a whole tray of eggs.,Saabadde musanyufu ng'omwana wange ayasizza ttule y'amagi yonna.,Sikufurahia pale watoto wangu walipovunja trei yote ya mayai.,Neg
My friend hates the way that man looks at her.,Mukwano gwange tayagala ngeri musajja oyo gy'amutunuuliramu.,Rafiki yangu anachukia namna ambayo jamaa yule anavyomtazama.,Neg
The children were excited when they met me on their way home.,Abaana baasanyuka nga bansisinkanye nga badda ewaka.,Watoto wale walisisimka walipokutana nami wakiwa wanaelekea nyumbani.,Pos
I love the confidence in these ladies.,Njagadde okwekkiririzaamu okuli mu bakyala bano.,Ninapenda namna akina dada hawa wanavyojiamini.,Pos
My neighbor was happy when her husband gifted her a gold necklace.,Muliraanwa wange yabadde musanyufu ng'omwami we amutonedde akakuufu k'omu bulago aka zzaabu.,Jirani yangu alifurahi pale mumewe alipomzawadia mkufu wa dhahabu.,Pos
The new driver dislikes driving at night.,Dereeva omupya tayagala kuvuga kiro.,Dereva mpya hapendi kuendesha kipindi cha usiku.,Neg
The school principal was overjoyed when the visitors donated ten computers.,Omukulu w'essomero yajjudde essanyu ng'abagenyi bawaddeyo kompyuta kkumi.,Mudiri wa shule alifurahi sana wakati wageni walipochangia kompyuta kumi.,Pos
Have a nice day.,Beera n'olunaku olulungi.,Uwe na siku njema.,Pos
It annoys me whenever you interrupt our conversation.,Kinnyiiza buli lw'oyingirira emboozi yaffe.,Huwa inaniudhi unapoingilia maongezi yetu.,Neg
The fishermen were happy when they caught a lot of fish yesterday.,Abavubi baabadde basanyufu nga bakutte ebyennyanja bingi olunaku lw'eggulo.,Wavuvi walifurahi walipopata samaki wengi jana.,Pos
She enjoys sunbathing every weekend.,Anyumirwa okubeera mu kasana ku buli nkomerero ya wiiki.,Anafurahia kuota jua kila mwishoni mwa juma.,Pos
"Sadly, my sister abandoned her children in the village.","Eky'ennaku, muganda wange/mwannyinaze yasuulawo abaana be mu kyalo.","Huzuni, dada yangu amewatelekeza watoto wake kijijini.",Neg
This time his plans failed to work out.,Ku luno enteekateeka ze zaagudde butaka.,Wakati huu mipango yake imeshindwa kuwa yenye tija.,Neg
I got angry when the new watch failed to work.,Nasunguwadde ng'essaawa empya egaanye okukola.,Nilikasirika pale saa ile mpya iliposhindwa kufanya kazi.,Neg
That is a very bad decision.,Okwo kusalawo kubi nnyo.,Huo ni uamuzi mbaya sana.,Neg
"Unfortunately, my computer crashed and I lost everything.","Eky'omukisa omubi, kompyuta yange yayiise ebintu byange byonna ne bivaako.","Kwa bahati mbaya, komoyuta yangu ilianguka na nilipoteza kila kitu.",Neg
Children enjoy learning with these art materials.,Abaana baagala okuyiga nga bakozesa ebifaananyi bino.,Watoto hufurahia kujifunza kwa nyenzo hizi hizi za kisanaa.,Pos
Our mother was excited when we took her to the beach on Mother's Day.,Nnyaffe yasanyuka nga tumututte ku bbiici ku Lunaku lwa Bamaama.,Mama yetu alisisimkwa tulipomchukua kwenda ufukweni kwenye maadhmisho ya siku ya mama duniani.,Pos
I was happy when the gateman washed my car.,Nabadde musanyufu ng'omukuumi ayozezza emmotoka yange.,Nilifurahia pale mlinzi wa mlangoni alipoosha gari langu.,Pos
She is glad because she got a faithful partner.,Musanyufu kubanga yafuna omwagala omwesigwa.,Ana furaha kwasababu alipata mwenza wake mwaminifu.,Pos
I got furious when I saw uninvited guests at my graduation party.,Nasunguwala nga ndabye abagenyi abatali bayite ku kabaga k'amatikkira gange.,Nilikasirika nilipowaona wageni wasioalikwa katika sherehe yangu ya mahafali.,Neg
We love this family photo because it looks beautiful.,Twagala ekifaananyi kya famire kino kubanga kifaanana bulungi.,Tunaipenda picha hii ya familia kwasababu ni nzuri.,Pos
The bosses were disappointed when the gateman narrated a false story.,Abakozesa beewuunya ng'omukuumi ayogedde emboozi enkyamu.,Mabosi wale walihuzunishwa wakati mlinzi wa getini aliposimulia stori ya uongo.,Neg
His car was towed for illegal parking.,Emmotoka ye yasikibwa lwa kugisimba mu bumenyi bwa mateeka.,Gari lake lilifungwa kwasbabu ya kuegesha kinyume na sheria.,Neg
I enjoy listening to gospel music.,Nnyumirwa okuwuliriza ennyimba z'eddiini.,Ninafurahia kusikiliza muziki wa kuabudu.,Pos
The vocal part of the song is very difficult.,Ekitundu ky'oluyimba ekiyimbwa kizibu nnyo.,Sehemu ya vionjo vya sauti katika wimbo ule ni ngumu sana.,Neg
She refused to associate with her fellow employees at work.,Yagaanye okukwatagana ne bakozi banne ku mulimu.,Alikataa kujihusisha na wafanyakazi wenzake kazini.,Neg
The private collection of your artwork that you showed us looks beautiful.,Ekku??aanyizo ly'ebifaananyi byo ery'obwannannyini lye watulaze lifaanana bulungi.,Jumuishi lako binafsi la kazi za sanaa ulilotuonesha ni zuri.,Pos
The new movie is exciting.,Ffirimu empya enyuma.,Filamu ile mpya ni mzuri sana.,Pos
He felt shame for his lies.,Yawulira ekiswalo olw'obulimba bwe.,Alijihisi aibu kwa udanganyifu wake.,Neg
I feel good when I run in the morning.,Mpulira bulungi nga nziruse ku makya.,Huwa ninajisikia vizuri nikimbiapo asubuhi.,Pos
The guests got tired of waiting and left without watching the show.,Abagenyi baakooye okulinda era ne bagenda nga tebalabye mwoleso.,Wageni wale walichoka kusubiri na waliondoka pasipo na kutazama tamasha.,Neg
I was happy when the manager chose me as the team leader.,Nali musanyufu nga maneja annonze ng'akukulira ekibinja.,Nilifurahi wakati meneja aliponichagua kuwa kiongozi.,Pos
The stuff I bought online was illegal.,Ebintu bye naguze ku mutimbagano byabadde bimenya amateeka.,Vitu vile nilivyonunua kwa njia ya mtandao vilikua haramu.,Neg
I was unhappy because my mother refused me to join the netball team.,Saabadde musanyufu kubanga mmange ya??aanye okwegatta ku ttiimu y'omupiira gw'okubaka.,Sikuwa na furaha kwasababu mama yangu alinikatalia kujiunga na timu ya mpira wa pete.,Neg
Her parents were upset when they heard that she was terminated from her job.,Bazadde be kyababuukako bwe baawulira nti yasaziddwamu ku mulimu.,Wazazi wake walikasirika waliposikia kwamba aliachishwa kazi.,Neg
My search for the appropriate dress was tedious.,Okunoonya olugoye olulungi kwankooya.,Utafutaji wangu wa nguo sahihi ulichosha.,Neg
I was happy when he gave me a letter of reference.,Nali musanyufu ng'ampadde ebbaluwa ensemba.,Nilikuwa na furaha aliponipa barua ya kumbukumbu.,Pos
He got angry when his wife deleted the photos from his phone.,Yanyiiga nga mukyala we asangudde ebifaananyi okuva mu ssimu ye.,Alikasirika wakati mke wake alipofuata picha zile katika simu yake.,Neg
We are happy because today is our president's wedding day.,Tuli basanyufu kubanga olwaleero lwe lunaku lw'embaga ya pulezidenti waffe.,Tuna furaha kwasababu leo ni siku ndoa ya Rais wetu.,Pos
I felt sad because I couldn't afford that dress.,Nawulira ennaku kubanga saalina busobozi bwa lugoye olwo.,Nilijihisi huzuni kwasababu sikuweza kuimudu nguo ile.,Neg
"Sadly, the young couple has gone through bad times.","Eky'ennaku, abaagalana abakyali abavubuka bayise mu kaseera ak'akazigizigi.","Huzuni, wanandoa vijana wamepitia nykati ngumu.",Neg
I dislike the smell of this beer.,Akawoowo k'omwenge guno sikaagala.,Sipendi harufu ya bia hii.,Neg
He loves this kind of jeans.,Ayagala jjiini ez'ekika kino.,Anapenda aina hii ya jinzi.,Pos
The children are happy because they are not going to school tomorrow.,Abaana basanyufu kubanga si baakugenda ku ssomero olunaku lw'enkya.,Watoto wana furaha kwaababu kesho hawaendi shule.,Pos
It is very dangerous to swim in that lake.,Kya bulabe nnyo okuwugira mu nnyanja eyo.,Ni hatari sana kuogelea katika ziwa lile.,Neg
I was pleased when the driver drove me home after work.,Nasanyuka nga dereeva anvuze n'anziza ewaka oluvannyuma lw'okukola.,Nilifurahi wakati dereva yule aliponiendesha mpaka nyumbani baada ya kazi.,Pos
Employees were angry when the doctor came in drunk this morning.,Abakozi baabadde banyiivu ng'omusawo ayingiddewo nga mutamiivu ku makya ga leero.,Wafanyakazi walikasirika baada ya daktari kuja akiwa amelewa asubuhu hii.,Neg
This is the right thing to do right now.,Kino ky'ekintu ekituufu okukola mu kiseera kino.,Hili ndilo jambo sahihi la kulifanya kwa muda huu.,Pos
We are happy to be among the organizers of this party.,Tuli basanyufu okuba ekitundu ku bategesi b'akabaga kano.,Tunafurahi kuwa miongoni mwa waaandaaji wa sherehe hii.,Pos
She became severely depressed after her mother's death.,Yafuna ennyiike ey'amaanyi oluvannyuma lw'okufa kwa nnyina.,Alikuwa ni mwenye huzuni sana baada ya kifo cha mama yake.,Neg
"Strangely, he came home so late at night.","Ekitalabwangako, yakomyewo ewaka nga bugenze nnyo ekiro.",Kwa ugeni alikuja nyumbani kwa kuchelewa sana usiku.,Neg
I hate eating cheese.,Saagala kulya muzigo.,Ninachukia kula jibini.,Neg
He is glad because his parents trust him.,Musanyufu kubanga bazadde be bamwesiga.,Ana furaha kwasababu wazazi wake wanamuamini.,Pos
We were happy when our manager returned from the family trip last night.,Twabadde basanyufu kubanga manja waffe yakomyewo okuva ku lugendo lwa famire ekiro ekyayise.,Tulifurahi wakati meneja wetu aliporejea kutoka safari ya kifamilia jana usiku.,Pos
I felt relieved when he accepted his mistake and apologized.,Nawulidde nga nzikakkanye bwe yakkirizza ensobi ye era ne yeetonda.,Nilijisikia faraja alipokubali kosa lake na kuomba msamaha.,Pos
She failed to take care of her poultry farm.,Yalemererwa okulabirira faamu y'ebinyonyi by'alunda.,Alishindwa kuwahudumia izuri kuku wake.,Neg
I enjoy studying English.,Nnyumirwa okusoma Olungereza.,Ninafurahia kusoma Kingereza.,Pos
It's good you slept for more than fifteen minutes.,Kirungi nti weebase eddakiika ezisoba mu kkuminattaano.,Ni vizuri ulilala kwa zaidi ya dakika kumi na tano.,Pos
She hates eating fried chicken.,Tayagala kulya nkoko nsiike.,Hapendi kula kuku wa kukaanga.,Neg
We are happy whenever you come to see us.,Tubeera basanyufu buli lw'ojja okutulaba.,Tunafurahi kila unapokuja kutuona.,Pos
They died instantly when the train hit their car.,Baafiiriddewo ng'eggaali y'omukka etomedde emmotoka yaabwe.,Walikufa papohapo baada ya garimoshi kuigonga gari lao.,Neg
We are pleased when our mother cooks for us food.,Tusanyuka nga nnyaffe atufumbidde emmere.,Tunafurahia pindi mama yetu anapotupikia chakula.,Pos
This is one of the worst music concerts I have ever seen.,Kino ky'ekimu ku bivvulu by'ennyimba ebikyasinze okuba ebibi bye nali ndabye.,Hili ni moja ya tamasha la hovyo kabisa la muziki nililowahi kulishuhudia.,Neg
I dislike smiling at strangers.,Saagala kumwenyeza bantu be simanyi.,Sipendi kutabasam kwa wageni.,Neg
"Unfortunately, the old man hates bathing in the morning","Eky'omukisa omubi, omusajja omukadde tayagala kunaaba ku makya.",Kwa bahati mbaya mzee yule hapendi kuoga kipindi cha asubuhi.,Neg
I hate people who don't appreciate what we do for them.,Saagala bantu batasiima bye tubakolera.,Ninawachukia watu ambao hawathamini yale tunayowafanyia.,Neg
She got angry when we refused to watch over the baby.,Yanyiize nga tugaanye okutambuliza ku mwana amaaso.,Alikasirika tulipokataa kumtazama mtoto.,Neg
We are having a lot of fun.,Tunyumirwa nnyo.,Tuna furaha sana.,Pos
I dislike eating bread.,Saagala kulya migaati.,Sipendi kula mkate.,Neg
We are frustrated by the heavy rains.,Tusobeddwa olw'enkuba ennyingi.,Tulichanganyikiwa kwa mvua kubwa.,Neg
He put a bad profile picture on her phone.,Yatadde ekifaananyi ekibi ku ssimu ye.,Aliweka picha mbaya ya wasifu katika simu yake.,Neg
You look shabby in that blue dress.,Olabika bubi mu kiteeteeyi kya bbululu ekyo.,Unaonekana wa zamani kwa nguo hiyo ya buluu.,Neg
We refused to vote for that short man.,Twagaanye okulonda omusajja oyo omumpi.,Tulikataa kumchagua mtu yule mfupi.,Neg
People from our village discouraged us from joining the movie industry.,Abantu mu kitundu kyaffe baatugaana okugenda mu kisaawe ky'okuzannya ffirimu.,Watu wa kijijini kwetu walitukatisha tamaa kujiunga na tasnia ya filamu.,Neg
He rejoiced when he finally got the business contract.,Yajaganyizza ddaaki bwe yafunye endagaano y'omulimu.,Htimaye alifurahi alipopata mkataba wa biashara.,Pos
The couple has earned love and respect from many prominent people.,Abaagalana baweebwa okwagala n'ekitiibwa okuva mu bantu bangi abaatiikirivu.,Wanandoa wale wamepata upendo na heshima kutoka kwa watu mashuhuri.,Pos
I enjoy walking to work in the morning.,Nnyumirwa okutambula ne ??enda ku mulimu ku makya.,Ninafurahia kwenda kazini kwa miguu asubuhi.,Pos
The baby suffocated in the car on a hot day.,Omwana yaziyira mu mmotoka ku lunaku olw'ebbugumu.,Mtoto alishindwa kupumua kwenye gari siku ya joto.,Neg
He enjoys resting on weekends.,Anyumirwa okuwummula ku nkomerero ya wiiki.,Anafurahia kupumzika kipindi cha mwisho wa juma.,Pos
You'd better see a doctor about the headache.,Kisingako n'olaba omusawo ku mutwe ogukuluma.,Ni vyema kumuona daktari kuhusu maumivu hayo ya kichwa.,Neg
I felt uncomfortable when I slept on the floor last night.,Nawulidde nga sirina mirembe bwe neebase ku ttaka ekiro ekyayise.,Sikuwa vizuri baada ya kulala kwenye sakafu jana usiku.,Pos
She is happy because she has talented children.,Musanyufu kubanga alina abaana ab'ebitone.,Ana furaha kwasababu ana mtoto mwenye kipaji.,Pos
He accepted the change in her life.,Yakkiriza enkyukakyuka mu bulamu bwe.,Alikubaliana na badiliko la maisha yako.,Pos
The fashion show was tremendous.,Omwoleso gw'emisono gwabadde musuffu.,Onesho la mitindo lilikuwa kubwa..,Pos
He is very angry with his niece.,Munyiivu nnyo eri muwala we.,Ana hasira sana na mpwa wake.,Neg
I felt sad when I failed to get my children's birth certificates.,Nawulidde ennaku nga nemereddwa okufuna satifikeeti z'abaana bange ez'obuzaale.,Nilihuzunika baada ya kushindwa kupata vyeti vya kuzaliwa vya wanangu.,Pos
That country is very beautiful.,Eggwanga ero ddungi nnyo.,Nchi ile ni nzuri sana.,Pos
It was an awesome experience when we visited the Nile.,Kyali kyakuyiga kirungi nga tulambudde Nile.,Tulifurahia sana tulipotembelea mto Naili.,Pos
She enjoys listening to oldies in the middle of the night.,Anyumirwa okuwuliriza ennyimba enkadde mu masekkati g'ekiro.,Anafurahia kusikiliza wahenga usiku wa manane.,Pos
You look nice with your short hair.,Olabika bulungi n'enviiri zo ennyimpi.,Unapendeza sana kwa nywele zako fupi.,Pos
He refused to follow the company rules.,Yagaanye okugoberera amateeka ga kampuni.,Alikataa kufuata sheria za kampuni.,Neg
He is the best guitar player in that band.,Ye musunyi w'ekidongo asinga mu kibiina ekyo.,Ni mpiga zeze bora katika bendi ile.,Pos
My son was unhappy when I failed to buy him a birthday present.,Mutabani wange teyabadde musanyufu nga nemereddwa okumugulira ekirabo ky'amazaalibwa.,Mtoto wangu hakuwa na furaha niliposhindwa kumnunulia zawadi ya kumbukizi ya kuzaliwa.,Neg
We were happy when our brother showed us the car he had bought.,Twali basanyufu nga muganda waffe/mwannyinaffe atulaze emmotoka gye yali aguze.,Tulikua na furaha kaka yetu alivyotuonesha gari aliyoinunua.,Pos
She is unhappy because her daughter pretended to be sick.,Si musanyufu kubanga muwala we yeefuula okuba omulwadde.,Hana furaha kwasababu binti yake alidanganya anaumwa.,Neg
He was in shock when he opened the house and all his property had been stolen.,Yafuna ekyekango bwe yaggulawo ennyumba n'alaba ng'ebintu bye byonna byali bibbiddwa.,Alishtuka baada ya kufungua nyumba na kukuta vitu vake vyote vimeibwa.,Neg
I love the durability of this kind of phone.,Njagala obuwangaazi bw'essimu ey'ekika kino.,Ninapenda uimara wa simu aina hii.,Pos
"Unfortunately, the receptionist lost the company records.","Eky'omukisa omubi, ayaniriza abagenyi yabuzizza ebiwandiiko bya kampuni.","Kwa bahati mbaya, mpokea wageni yule akipoteza kumbukumbu za kampuni ile.",Neg
I am glad to be heading to the city today.,Ndimusanyufu okuba nga ??enda mu kibuga olwaleero.,Nimefurahi kuelekea mjini leo.,Pos
She was happy when she learned how to arrange flowers.,Yali musanyufu bwe yayiga okutegeka ebimuli.,Alifurahi alipojifunza namna ya kupangilia maua.,Pos
The injured man lay on the ground moaning in pain.,Omusajja ow'obuvune yeebaka ku ttaka n'asinda ng'ali mu bulumi.,Majeruhi huyu amelala chini akiugulia maumivu.,Neg
He played his part very well.,Yazannya bulungi ekitundu kye.,Alicheza nafasi yake vizuri.,Pos
We dislike her mother's wicked behaviors.,Tetwagala nneeyisa ya nnyina embi.,Hatuipendi tabia mbaya ya mama yake.,Neg
She rolled her eyes with anger.,Yatambuza amaaso ge n'obusungu.,Alizungusha macho yake kwa hasira.,Neg
We love eating chocolate.,Twagala okulya chocolate.,Tunapenda kula chokoleti.,Pos
My sister looks beautiful when she puts on makeup.,Muganda wange/mwannyinaze alabika bulungi ng'ataddeko eby'okwezigula.,Dada alipendeza alipopakaa mekapu.,Pos
He laughed with pleasure when people told him that he resembles her father.,Yaseka n'essanyu lingi ng'abantu bamugambye nti afaanana kitaawe.,Alicheka kwa furaha baada ya watu kumwambia anafanana na baba yake.,Pos
She got angry when her bracelet broke.,Yanakuwala ng'ekikomo kye kimenyese.,Alikasirika baada ya bangili yake kuvunjika.,Neg
